prov_id,dist_id,dist_lo,dist_en
1,101,ມ. ຈັນ​ທະ​ບູ​ລີ,Chanthabuly District
1,102,ມ. ສີ​ໂຄດ​ຕະ​ບອງ,Sikhottabong District
1,103,ມ. ໄຊ​ເສດ​ຖາ,Xaysetha District
1,104,ມ. ສີ​ສັດ​ຕະ​ນາກ,Sisattanak District
1,105,ມ. ນາ​ຊາຍ​ທອງ,Naxaithong District
1,106,ມ. ໄຊ​ທາ​ນີ,Xaythany District
1,107,ມ. ຫາດ​ຊາຍ​ຟອງ,Hadxaifong District
1,108,ມ. ສັງ​ທອງ,Sangthong District
1,109,ມ. ປາກ​ງື່ມ,Mayparkngum District
1,110,ມ. ດ່ານຊ້າງມີໄຊ, DanXangMixay District
2,201,ມ. ຜົ້ງ​ສາ​ລີ,Phongsaly District
2,202,ມ. ​ໃໝ່,May District
2,203,ມ. ຂວາ,Khua District
2,204,ມ. ສຳ​ພັນ,Samphanh District
2,205,ມ. ​ບຸນ​ເໜືອ,Boon neua District
2,206,ມ. ຍອດ​​ອູ,Nhot ou District
2,207,ມ. ​ບຸນ​ໃຕ້,Boontai District
3,301,ມ. ນ້ຳ​ທາ,Namtha District
3,302,ມ. ສິງ,Sing District
3,303,ມ. ລອງ,Long District
3,304,ມ. ວຽງ​ພູ​ຄາ,Viengphoukha District
3,305,ມ. ນາ​ແລ,Nalae District
4,401,ມ. ໄຊ,Xay District
4,402,ມ. ຫຼາ,La District
4,403,ມ. ນາ​ໝໍ້,Namor District
4,404,ມ. ງາ,Nga District
4,405,ມ. ​ແບງ,Beng District
4,406,ມ. ຮຸນ,Hoon District
4,407,ມ. ປາກແ​ບງ,Pakbeng District
5,501,ມ. ຫ້ວຍ​ຊາຍ,Huoixai District
5,502,ມ. ຕົ້ນ​ເຜີ້ງ,Tonpheung District
5,503,ມ. ເມິງ,Meung District
5,504,ມ. ຜາ​ອຸດົມ,Pha oudom  District
5,505,ມ. ປາກ​ທາ,Paktha District
6,601,ມ. ຫຼວງ​ພະ​ບາງ,Luangprabang  District
6,602,ມ. ຊຽງ​ເງິນ,Xieng ngeun District
6,603,ມ. ນານ,Nan District
6,604,ມ. ປາກ​ອູ,Park ou District
6,605,ມ. ນ້ຳ​ບາກ,Nambak District
6,606,ມ. ງອຍ,Ngoi District
6,607,ມ. ປາກ​ແຊງ,Pak xeng District
