"prov_id","prov_sym","prov_lo","prov_en"
"02","PSL","ຂ. ຜົ້ງ​ສາ​ລີ","Phongsaly"
"03","LNT","ຂ. ຫຼວງ​ນ້ຳ​ທາ","Luangnamtha"
"04","ODX","ຂ. ອຸ​ດົມ​ໄຊ","Oudomxay"
"06","LPB","ຂ. ຫຼວງ​ພະ​ບາງ","Luangprabang"
"07","HPH","​ຂ. ຫົວ​ພັນ","Huaphanh"
"13","SVK","ຂ. ສະ​ຫວັນ​ນະ​ເຂດ","Savannakhet"
"01","VTE","ຂ. ນະຄອນຫຼວງວຽງຈັນ","Vientiane Capital"
"05","BOK","ຂ. ບໍ່​ແກ້ວ","Bokeo"
"08","XBR","ຂ. ໄຊ​ຍະ​ບູ​ລີ","Xayabury"
"10","VTE2","ຂ. ວຽງ​ຈັນ","Vientiane"
"11","BKX","ຂ. ບໍ​ລິ​ຄຳ​ໄຊ","Borikhamxay"
"12","KHM","​​ຂ. ຄຳ​ມ່ວນ","Khammuane"
"16","CHP","ຂ. ຈຳ​ປາ​ສັກ","Champasack"
"18","XXB","ຂ. ໄຊ​ສົມ​ບູນ","Saysomboun"
"14","SRV","ຂ. ສາ​ລະ​ວັນ","Saravane"
"15","SKG","ຂ. ເຊກອງ","Sekong"
"17","ATP","ຂ. ອັດ​ຕະ​ປື","Attapeu"
"09","XKH","ຂ. ຊຽງ​ຂວາງ","Xiengkhuang"
