vil_id,vil_lo,vil_en,dist_id
101001,ບ. ໜອງປິງ,B. Nongping,101
101002,ບ. ບໍ່ນາງົວ,B. Bonangoua,101
101003,ບ. ຫ້ວຍຫົງ,B. Houayhong,101
101004,ບ. ໂພນສະຫ່ວາງ,B. Phonsavang,101
101005,ບ. ໜອງທາເໜືອ,B. Nongtha-nua,101
101006,ບ. ໜອງທາໄຕ້,B. Nongtha-tai,101
101007,ບ. ດອນແດງ,B. Dondaeng,101
101008,ບ. ໂພນຕ້ອງສະຫວາດ,B. Phontongsavat,101
101009,ບ. ດົງປ່າແຫຼບ,B. Dongpalaep,101
101010,ບ. ໂພນຕ້ອງຈອມມະນີ,B. Phontongchommani,101
101011,ບ. ຮ່ອງແຊງ,B. Hongxaeng,101
101012,ບ. ຮ່ອງໄກ່ແກ້ວ,B. Hongkaikeo,101
101013,ບ. ທົ່ງສ້າງນາງ,B. Thongsangnang,101
101014,ບ. ສະຫ່ວາງ,B. Savang,101
101015,ບ. ຮ່ອງຄ້າ,B. Hongkha,101
101016,ບ. ທົ່ງຕູມ,B. Thongtoum,101
101017,ບ. ດົງໝ້ຽງ,B. Dongmieng,101
101018,ບ. ສີດຳດວນ,B. Sidamdouan,101
101019,ບ. ສີບຸນເຮືອງ,B. Sibounhuang,101
101020,ບ. ຂົວຫຼວງ,B. Khoualouang,101
101021,ບ. ສີສະຫວາດ,B. Sisavat,101
101022,ບ. ທົ່ງຂັນຄຳ,B. Thongkhankham,101
101023,ບ. ສີຫອມ,B. Sihom,101
101024,ບ. ອານຸ,B. Anou,101
101025,ບ. ສາຍລົມ,B. Saylom,101
101026,ບ. ຫັດສະດີເໜືອ,B. Hatsadi-nua,101
101027,ບ. ຫັດສະດີໄຕ້,B. Hatsadi-tai,101
101028,ບ. ສີສະເກດ,B. Sisaket,101
101029,ບ. ຫາຍໂສກ,B. Haysok,101
101030,ບ. ວັດຈັນ,B. Vatchan,101
101031,ບ. ມີໄຊ,B. Mixai,101
101032,ບ. ຊຽງຍືນ,B. Xienggnun,101
102001,ບ​. ນາຄຳ,B. Nakham,102
102002,ບ​. ອຸບມຸງ,B. Oupmoung,102
102003,ບ​. ໜອງປ່າໄນ,B. Nongpanai,102
102004,ບ​. ວັດໄຕນ້ອຍທ່າ,B. Vattainoy-Tha,102
102005,ບ​. ວັດໄຕນ້ອຍທົ່ງ,B. Vattainoy-Thong,102
102006,ບ​. ໜອງສະໂນຄຳ,B. Nongsanokham,102
102007,ບ​. ວັດໄຕໃຫ່ຍທົ່ງ,B. Vattaignai-Thong,102
102008,ບ​. ວັດໄຕໃຫ່ຍທ່າ,B. Vattaignai-Tha,102
102009,ບ​. ອາກາດ,B. Akat,102
102010,ບ​. ເມືອງວາທົ່ງ,B. Muangva-Thong,102
102011,ບ​. ເມືອງວາທ່າ,B. Muangva-Tha,102
102012,ບ​. ສີໄຄທ່າ,B. Sikhai-Tha,102
102013,ບ​. ສີໄຄທົ່ງ,B. Sikhai-thong,102
102015,ບ​. ຍາຜະ,B. Gnapha,102
102016,ບ​. ສີບຸນເຮືອງທ່າ,B. Sibounhuang-Tha,102
102017,ບ​. ສີບຸນເຮືອງທົ່ງ,B. Sibounhuang-Thong,102
102018,ບ​. ສີຊົມຊື່ນ,B. Sixomxun,102
102019,ບ​. ໂນນສະຫ່ວາງ,B. Nonsavang,102
102020,ບ​. ເກົ້າລ້ຽວ,B. Kaoliao,102
102021,ບ​. ດ່ານຄຳ,B. Dankham,102
102022,ບ​. ໂນນຂີ້ເຫຼັກ,B. Nonkhilek,102
102023,ບ​. ໂນນແກ້ວ,B. Nonkeo,102
102024,ບ​. ໂພນສະຫວາດເໜືອ,B. Phonsavat-Nua,102
102025,ບ​. ໂພນສົມບູນ,B. Phonsomboun,102
102026,ບ​. ຕາດທອງ,B. Tatthong,102
102027,ບ​. ໜອງດາ,B. Nongda,102
102028,ບ​. ໄໝ່,B. Mai,102
102029,ບ​. ຫ້ວຍຫ້ອມ,B. Houyhom,102
102030,ບ​. ອ່າງໃຫ່ຍ,B. Ang-Gnai,102
102031,ບ​. ໂພສີ,B. Phosi,102
102032,ບ​. ນາແຮ່,B. Nahe,102
102033,ບ​. ວຽງສະຫັວນ,B. Viangsavan,102
102034,ບ​. ທົ່ງປົ່ງ,B. Thongpong,102
102035,ບ​. ນາເລົາ,B. Nalao,102
102036,ບ​. ໜອງໝ້ຽວ,B. Nongniao,102
102037,ບ​. ໜອງແຕ່ງໃຕ້,B. Nongteng-Tai,102
102038,ບ​. ໜອງແຕ່ງເໜືອ,B. Nongteng-Nua,102
102039,ບ​. ວຽງຄຳ,B. Viangkham,102
102040,ບ​. ຈຳປາ,B. Champa,102
102041,ບ​. ດົງນາໂຊກໄຕ້,B. Dongnaxok-Tai,102
102042,ບ​. ດົງນາໂຊກເໜືອ,B. Dongnaxok-Nua,102
102043,ບ​. ປາກທ້າງ,B. Pakthang,102
102044,ບ​. ດົງນາທອງ,B. Dongnathong,102
102045,ບ​. ຫຼັກຫີນ,B. Lakhin,102
102046,ບ​. ໜອງບຶກໃຕ້,B. Nongbuk-Tai,102
102047,ບ​. ໜອງບຶກເໜືອ,B. Nongbuk-Nua,102
102048,ບ​. ດົງກະເລົາ,B. Dongkalao,102
102049,ບ​. ຊຳເກດ,B. Xamket,102
102050,ບ​. ຂຸນຕາທົ່ງ,B. Khounta-Thong,102
102051,ບ​. ຂຸນຕາທ່າ,B. Khounta-Tha,102
102052,ບ​. ສີຖານເໜືອ,B. Sithan-Nua,102
102053,ບ​. ໜອງດ້ວງເໜືອ,B. Nongdouang-Nua,102
102054,ບ​. ໜອງດ້ວງໃຕ້,B. Nongdouang-Tai,102
102055,ບ​. ໜອງດ້ວງທົ່ງ,B. Nongdouang-Thong,102
102056,ບ​. ໂພນສະຫວາດໃຕ້,B. Phonsavat-Tai,102
102057,ບ​. ໜອງບົວທອງໃຕ້,B. Nongbouathong-Tai,102
102058,ບ​. ໜອງບົວທອງເໜືອ,B. Nongbouathong-Nua,102
102059,ບ​. ໂພນຄຳ,B. Phonkham,102
102060,ບ​. ຈັນສະຫ່ວາງ,B. Chansavang,102
102061,ບ​. ດອນຊິງຊູ້,B. Donxingsou,102
103001,ບ. ຈອມມະນີເໜືອ,B. Chommani-nua,103
103002,ບ. ຈອມມະນີກາງ,B. Chommani-kang,103
103003,ບ. ຈອມມະນີໃຕ້,B. Chommani-tai,103
103004,ບ. ໂພນພະເນົາ,B. Phonphanao,103
103005,ບ. ໂພນເຄັງ,B. Phonkheng,103
103006,ບ. ໜອງສ້າງທໍ່,B. Nongsangtho,103
103007,ບ. ໂພນສະອາດ,B. Phonsa-at,103
103008,ບ. ທາດຫຼວງເໜືອ,B. Thatlouang-nua,103
103009,ບ. ໜອງບອນ,B. Nongbon,103
103010,ບ. ໂພນໄຊ,B. Phonxai,103
103011,ບ. ນາໄຊ,B. Naxai,103
103012,ບ. ຝາຍ,B. Fay,103
103013,ບ. ວຽງຈະເລີນ,B. Viengchaleun,103
103014,ບ. ທາດຫຼວງກາງ,B. Thatlouang-kang,103
103015,ບ. ທາດຫຼວງໃຕ້,B. Thatlouang-tai,103
103016,ບ. ຮ່ອງແກ,B. Hongkae,103
103017,ບ. ສີສັງວອນ,B. Sisangvon,103
103018,ບ. ສະພັງໝໍ້,B. Saphangmo,103
103019,ບ. ໂພນທັນເໜືອ,B. Phonthan-nua,103
103020,ບ. ໂພນທັນໃຕ້,B. Phonthan-tai,103
103021,ບ. ຮ່ອງສຸພາບ,B. Hongsouphap,103
103022,ບ. ໂນນສະຫ້ວນ,B. Nonsavan,103
103023,ບ. ໜອງໜ່ຽງ,B. Nongnieng,103
103024,ບ. ໂນນສະຫງ່າ,B. Nonsahnga,103
103025,ບ. ອາມອນ,B. Amon,103
103026,ບ. ແສງສະຫ່ວາງ,B. Saengsavang,103
103027,ບ. ໂຊກຄຳ,B. Xokkham,103
103028,ບ. ວັງຊາບ,B. Vangxap,103
103029,ບ. ໂນນສະຫວ່າງ,B. Nonsavang,103
103030,ບ. ຫົວຂົວ,B. Houakhoua,103
103031,ບ. ໂນນຄໍ້ເໜືອ,B. Nonkho-nua,103
103032,ບ. ຄຳສະຫວາດ,B. Khamsavat,103
103033,ບ. ໂນນຫວາຍ,B. Nonvay,103
103034,ບ. ເມືອງນ້ອຍ,B. Muangnoy,103
103035,ບ. ຊຽງດາ,B. Xiengda,103
103036,ບ. ຂາມງອຍ,B. Khamngoy,103
103037,ບ. ນາສ້າງໄພ,B. Nasangphai,103
103038,ບ. ສົມສະຫງ່າ,B. Somsanga,103
103039,ບ. ໄຮຄຳ,B. Haikham,103
103040,ບ. ນາຄວາຍກາງ,B. Nakhoay-kang,103
103041,ບ. ນາຄວາຍໃຕ້,B. Nakhoay-tai,103
103042,ບ. ໂຊກໃຫ່ຍ,B. Xokgnai,103
103043,ບ. ໂຊກນ້ອຍ,B. Xok-noy,103
103044,ບ. ຊຳເຄ້,B. Xamkhe,103
103045,ບ. ໂພນທອງ,B. Phonthong,103
103046,ບ. ນາບຽນ,B. Nabian,103
103047,ບ. ດຸງ,B. Doung,103
103048,ບ. ນາໄຫ,B. Nahai,103
103049,ບ. ນາໂນ,B. Nano,103
103050,ບ. ຈອມລີ,B. Chomli,103
103051,ບ. ໂນນຄໍ້ໃຕ້,B. Nonkho-tai,103
104001,ບ​. ເພຍວັດ,B. Phiavat,104
104002,ບ​. ເກົ້າຍອດ,B. Kaognot,104
104003,ບ​. ສີເມືອງ,B. Simuang,104
104004,ບ​. ໜອງຈັນ,B. Nongchan,104
104005,ບ​. ດົງປ່າລານທ່າ,B. Dongpalan-Tha,104
104006,ບ​. ດົງປ່າລານທົ່ງ,B. Dongpalan-Thong,104
104007,ບ​. ໂພນສີນວນ,B. Phonsinouan,104
104008,ບ​. ສະພານທອງເໜືອ,B. Saphanthong-Nua,104
104010,ບ​. ທົ່ງພານທອງ,B. Saphanthong,104
104011,ບ​. ທາດຂາວ,B. Thatkhao,104
104012,ບ​. ພະໂພ,B. Phapho,104
104013,ບ​. ພະໄຊ,B. Phaxai,104
104014,ບ​. ໂພນສະຫ້ວນເໜືອ,B. Phonsavan-Nua,104
104015,ບ​. ໂພນສະຫ້ວນໃຕ້,B. Phonsavan-Tai,104
104017,ບ​. ບຶງຂະຫຍອງ,B. Bungkhagnong,104
104018,ບ​. ໂສກປ່າຫຼວງ,B. Sokpalouang,104
104019,ບ​. ສະພານທອງໃຕ້,B. Saphanthong-Tai,104
104020,ບ​. ວັດນາກ,B. Vatnak,104
104021,ບ​. ທ່າພະລານໄຊ,B. Thaphalanxai,104
104022,ບ​. ພັນໜັ້ນ,B. Phanman,104
104023,ບ​. ທົ່ງກາງ,B. Thong-Kang,104
104025,ບ​. ໂພນປ່າເປົ້າ,B. Phonpapao,104
104026,ບ​. ດອນກອຍ,B. Donkoy,104
104027,ບ​. ດອນນົກຂຸ້ມ,B. Donnokkhoum,104
104028,ບ​. ດອນປ່າໄໝ່,B. Donpa-Mai,104
104029,ບ​. ວັດສົບ,B. Vatsop,104
104030,ບ​. ໂພໄຊ,B. Phoxai,104
104031,ບ​. ສວນມອນ,B. Souanmon,104
104032,ບ​. ສ້າງເວີຍ,B. Sangveuy,104
104033,ບ​. ດົງສະຫວາດ,B. Dongsavat,104
104034,ບ​. ຈອມເພັດເໜືອ,B. Chomphet-Nua,104
104035,ບ​. ຫາຍໂສກ,B. Haysok,104
104036,ບ​. ຈອມແຈ້ງ,B. Chomcheng,104
104037,ບ​. ໂຄກນິນ,B. Khoknin,104
104038,ບ​. ຈອມເພັດໃຕ້,B. Chomphet-Tai,104
104039,ບ​. ໄຊສະຖານ,B. Saysathan,104
104040,ບ​. ໂພນສະຫວ່າງ,B. Phonsavang,104
105001,ບ. ນາສ້ຽວ,B. Nasiao,105
105002,ບ. ໄຊມຸງຄຸນ,B. Xaimoungkhoun,105
105003,ບ. ສີເກີດ,B. Sikeut,105
105004,ບ. ຜາງແຫ້ງ,B. Phanghaeng,105
105005,ບ. ນາລຽນ,B. Nalien,105
105006,ບ. ປາກແຮດ,B. Pakhet,105
105007,ບ. ໂພນສະຫ້ວນ,B. Phonsavan,105
105008,ບ. ໂພນແກ້ວ,B. Phonkeo,105
105009,ບ. ດົງຊຽງດີ,B. Dongxiengdi,105
105010,ບ. ນາຊາຍທອງໃຕ້,B. Naxaythong-tai,105
105011,ບ. ນາຊາຍທອງກາງ,B. Naxaythong-kang,105
105012,ບ. ນາຊາຍທອງເໜືອ,B. Naxaythong-nua,105
105013,ບ. ນາຄູນເໜືອ,B. Nakhoun-nua,105
105014,ບ. ນາຄູນໃຕ້,B. Nakhoun-tai,105
105015,ບ. ໜອງຍາວ,B. Nonggnao,105
105016,ບ. ດົງບອງ,B. Dongbong,105
105017,ບ. ຫົວຊ້າງ,B. Houaxang,105
105018,ບ. ດານຊີ,B. Danxi,105
105019,ບ. ຫົວຂົວ,B. Houakhoua,105
105020,ບ. ນາຊອນ,B. Naxon,105
105021,ບ. ນາຍາງ,B. Nagnang,105
105022,ບ. ໜອງຄັນຄູ,B. Nongkhankhou,105
105023,ບ. ນ້ຳກ້ຽງໃຕ້,B. Namkiang-tai,105
105024,ບ. ນ້ຳກ້ຽງເໜືອ,B. Namkiang-nua,105
105025,ບ. ນາຊັບ,B. Naxap,105
105026,ບ. ອີ່ໄລໃຕ້,B. Ilai-tai,105
105027,ບ. ອີ່ໄລເໜືອ,B. Ilai-nua,105
105028,ບ. ສອງຂົວກາງແສນ,B. Songkhouakangsaen,105
105029,ບ. ແຈ້ງສະຫວ່າງ,B. Chaengsavang,105
105030,ບ. ຫ້ວຍນ້ຳເຢັນ,B. Houaynamyen,105
105031,ບ. ສີສະຫວາດ,B. Sisavat,105
